id,sepal_length,sepal_width,petal_length,petal_width,redundancy
1,4.57,3.15,1.71,0.04,0
2,4.85,3.38,1.29,0.33,0
3,5.29,3.72,1.57,0.08,0
4,5.55,3.54,1.33,0.39,0
5,5.24,3.73,1.62,0.23,0
6,4.84,3.3,1.66,0.38,0
7,4.92,3.47,1.31,0.39,0
8,5.07,3.42,1.47,0.3,0
9,5.27,2.27,3.77,1.45,0
10,6.92,2.95,4.17,1.01,0
11,6.05,2.37,4.63,1.25,0
12,5.97,3.06,4.48,0.93,0
13,5.38,2.34,4.55,1.35,0
14,5.4,2.84,3.74,1.35,0
15,5.8,3.05,3.53,1.34,0
16,5.69,2.63,3.13,1.35,0
17,5.89,2.1,3.6,1.57,0
18,5.66,2.71,4.31,1.31,0
19,6.2,2.73,3.73,1.37,0
20,5.77,2.45,4.61,1.08,0
21,6.12,2.54,5.66,2.05,0
22,7.04,2.64,4.75,2.09,0
23,6.96,2.52,5.75,1.41,0
24,7.42,3.27,6.25,2.18,0
25,7.64,3.15,5.54,2.14,0
26,7.16,2.86,4.8,2.28,0
27,5.97,2.72,6.04,1.91,0
28,7.85,2.57,5.76,2.09,0
29,4.65,3.06,1.64,0.22,0
30,5.0,3.5,1.57,0.23,0
31,5.45,3.46,1.28,0.14,0
32,4.75,3.52,1.77,0.28,0
33,4.46,2.94,1.3,0.17,0
34,4.46,3.58,1.59,0.29,0
35,5.12,2.88,1.39,0.26,0
36,5.33,3.95,1.77,0.44,0
37,4.84,2.5,5.68,0.97,0
38,5.66,2.7,4.92,1.68,0
39,7.59,2.74,3.4,1.19,0
40,5.73,2.57,4.61,1.11,0
41,6.26,2.63,4.89,1.39,0
42,6.85,3.17,4.51,1.61,0
43,6.25,3.0,4.31,1.51,0
44,6.68,2.92,4.57,1.27,0
45,6.29,2.98,2.99,1.26,0
46,5.28,2.32,3.65,1.74,0
47,5.66,3.13,4.41,1.31,0
48,5.88,2.7,4.06,1.53,0
49,7.38,2.74,5.22,1.97,0
50,6.57,3.06,5.2,2.62,0
51,6.85,2.51,6.11,2.2,0
52,6.4,3.57,6.0,2.19,0
53,7.04,3.4,5.1,1.94,0
54,5.91,2.82,7.29,1.91,0
55,7.2,3.23,4.94,1.95,0
56,6.19,3.58,5.2,1.81,0
57,5.66,3.32,5.63,1.82,0
58,5.2,2.68,1.49,0.24,0
59,4.81,3.92,1.41,0.41,0
60,3.98,4.08,1.16,0.16,0
61,5.12,3.31,1.71,0.03,0
